Name,Address,Time,Close,Tel,PASELI
ポロス大曲店,秋田県大仙市大曲戸巻町東485, 10:00-23:45,, 0187-86-3340,1
メルヘンランド大館店,秋田県大館市御成町3-7-58いとく大館ショッピングセンター3F,,, 0186-49-2030,1
リスチャイルド本荘店,秋田県由利本荘市石脇字田中138イオンスーパーセンター本荘店内,,, 0184-28-0127,1
友栄秋田営業所,秋田県秋田市中通2-8-1フォンテAKITA店内4F, 9:00-22:00, 無し, 018-832-1417,0
ラウンドワン秋田店,秋田県秋田市卸町1-1-2, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 018-896-6711,1
ロックンボウル,秋田県秋田市広面字長沼301, 10:00-翌5:00, 無し, 018-831-6900,1
ソユープレイランドソピア御所野店,秋田県秋田市御所野地蔵田1-1-1イオン秋田SC2F, 10:00-24:00, 不定休, 018-889-6549,1
R-BOX アルヴェ店,秋田県秋田市東通仲町4-1秋田拠点センターアルヴェ1F,,, 018-831-1600,1
モーリーファンタジー能代,秋田県能代市 柳町11-1イオン3F,,, 0185-52-6291,0
キッズランドにしもない,秋田県雄勝郡羽後町南西馬音内213, 10:00-24:00, 無し, 0183-55-8903,1
