Name,Address,Time,Close,Tel,PASELI
ゲームラスベガス,東京都世田谷区北沢2-19-12第3マツヤビル, 10:00-24:00, 無し, 03-3413-7605,0
エムエムランド,東京都世田谷区北沢2-3-6,, 無し, 03-6804-0373,1
モナコ中野店,東京都中野区中野2-26-10中村ビル, 9:00-24:00, 無し, 03-3229-0299,1
YAZワールド八王子店,東京都八王子市みなみ野1-2-1アクロスモール内3F, 10:00-24:00, 無休, 042-635-3928,1
ドラマ野猿店,東京都八王子市大塚628-1, 10:00-24:00, 無し, 0426-75-9885,1
シルクハット八王子,東京都八王子市旭町2-5, 10:00-24:00,, 0426-55-0170,1
アドアーズ八王子,東京都八王子市東町11-3シグマゲームファンタジアビル内, 10:00-24:45, 無し, 0426-48-1288,1
ゲームプラザセントラル八王子店,東京都八王子市東町12-15第5セントラルビル, 10:00-翌1:00, 無し, 0426-44-0078,1
モナコ十条店,東京都北区上十条2-30-8, 9:00-24:00, 無し, 03-3909-8113,1
東京レジャーランド秋葉原店,東京都千代田区外神田1-9-5, 10:00-25:00, 無し, 03-5298-1360,1
東京レジャーランド秋葉原2号店,東京都千代田区外神田4-3-3, 10:00-25:00, 無し, 03-5209-5650,1
トライアミューズメントタワー新館,東京都千代田区外神田4-4-7MTビル, 10:00 - 24:00, 無し, 03-5295-2346,1
スマイル館 お茶の水店,東京都千代田区神田小川町3-6-15, 10:00-24:00, 無し, 03-5283-3377,1
アドアーズ上野アメ横店,東京都台東区上野4-9-14, 10:00-翌1:00, 無し, 03-5812-1570,1
アドアーズ浅草,東京都台東区浅草1-42-4パシフィックコート浅草1F, 10:00-25:00, 無し, 03-5830-4380,1
スクウェアワン武蔵小山,東京都品川区小山3-23-3SDビルB1F, 10:00-24:00, 無し, 03-6426-1284,1
アムネット五反田店,東京都品川区西五反田1-27-5NA五反田ビル, 10:00-翌1:00, 無し, 03-3495-2183,1
ゲームシティ国分寺南店,東京都国分寺市南町2-17-1, 10:00-23:50, 無し, 042-320-3700,1
アドアーズ錦糸町,東京都墨田区太平4-1-2オリナスB1F, 10:00-24:00, 無し, 03-5610-7376,1
アミューズメントパトリオットM,東京都墨田区江東橋4-25-5 4F, 10:00-24:00, 無し, 03-5600-7700,1
AMスペースカプセル永山,東京都多摩市永山1-3-4ヒューマックスパビリオン, 10:00-23:45, 無し, 0423-89-3461,1
THE 3RD PLANET多摩センター店,東京都多摩市落合1-39-2, 9:00-24:00, 無し, 042-371-5556,1
らんらんらんどパロ聖蹟桜ヶ丘,東京都多摩市関戸4-72聖蹟桜ヶ丘オーパ店, 10:00-21:00, 不定休, 042-356-3250,1
AM PIA大森新店,東京都大田区山王2-2-15大森駅前ビル2F, 10:00-翌1:00, 無し, 03-5743-2020,1
シルクハット蒲田M2店,東京都大田区西蒲田7-6-3プリンス会館1F, 10:00-翌1:00, 無し, 03-3736-3657,1
ラウンドワン府中本町駅前店,東京都府中市本町1-13-3カネタビル, 10:00-24:00, 無し, 042-340-4901,1
新宿プレイランドカーニバル,東京都新宿区歌舞伎町1-20-1ヒュ-マックスパビリオン2F, 10:00-翌0:45, 無し, 03-3208-0125,1
キャロム 東大和店,東京都東大和市立野2-2-2, 10:00-24:00, 無し, 042-561-5590,1
ゲームシティ板橋店,東京都板橋区小茂根1-32-9, 10:00-23:50, 無し, 03-5965-6013,1
マジック 上板橋店,東京都板橋区常盤台4-33-15高野ビル1･2F, 10:00-23:55, 無し, 03-3937-9388,1
ラウンドワン板橋店,東京都板橋区相生町16-13, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 03-5922-3521,1
ラウンドワン武蔵村山店,東京都武蔵村山市伊奈平3-1-1, 店舗に直接お問い合わせください, 無し, 042-520-3211,1
モナコ吉祥寺,東京都武蔵野市吉祥寺本町1-9-7, 10:00-24:00, 不定休, 0422-29-7020,1
ドットコム,東京都江戸川区中葛西3-35-5, 10:00-24:00, 店舗にお問合わせください, 03-3804-0141,1
アムネット小岩店,東京都江戸川区南小岩6-31-3石井ビル1F, 10:00-翌1:00, 無し, 03-5612-2811,1
東京レジャーランド小岩店,東京都江戸川区南小岩8-15-3, 10:00-翌1:00, 無し, 03-5668-8411,1
キャッツアイ西葛西店,東京都江戸川区西葛西4-2-28サニーモール西葛西ビル3F, 10:00-21:00, 無し, 03-5878-3185,1
