Name,Address,Time,Close,Tel,PASELI
シルクハット本厚木店,神奈川県厚木市中町2-4-13本厚木駅前ビル, 9:00-24:00, 無し, 0462-97-0261,1
イミグランデ本厚木店,神奈川県厚木市中町3-2-1, 10:00-24:00, 無し, 0462-24-9933,1
神奈川レジャーランド厚木店,神奈川県厚木市戸室5-31-1, 一部24時間営業, 無し, 046-297-0503,1
神奈川レジャーランド大和店,神奈川県大和市下鶴間2-1-13, 店舗にてご確認ください,, 046-244-0445,1
ウェアハウス川崎店,神奈川県川崎市川崎区日進町3-7, 9:00-24:00, 無し, 044-246-2360,1
ラウンドワン川崎大師店,神奈川県川崎市川崎区殿町1-5-1, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 044-270-1541,1
AMピア川崎モアーズ店,神奈川県川崎市川崎区駅前本町7岡田屋モアーズ内, 8:30-翌1:00, 無し, 044-200-0285,1
シルクハット川崎ダイス,神奈川県川崎市川崎区駅前本町8ダイスビルB2, 9:00-24:45, 無し, 044-223-3530,1
アミューズメントランドYAZ,神奈川県平塚市田村1-4-26, 10:00-24:00, 無休, 0463-51-1577,1
ネバーランド2,神奈川県座間市ひばりが丘4-11-48, 10:00-24:00, 無し, 046-266-4811,1
アドアーズ保土ヶ谷店,神奈川県横浜市保土ヶ谷区岩井町11-1, 9:00-24:00, 無し, 045-340-1751,1
パラダイスシティ,神奈川県横浜市旭区二俣川1-43-28長崎屋二俣川店5F, 10:00-21:00, 無し, 045-367-1940,1
ジアス新横浜店,神奈川県横浜市港北区新横浜2-1-19第17キタミビル2･3F, 10:00-24:00, 無し, 045-476-2710,1
ラウンドワン綱島店,神奈川県横浜市港北区樽町2-6-40, 10:00-24:00/土・日・祝9:00-24:00, 無し, 045-533-6151,1
ジアス上大岡店,神奈川県横浜市港南区上大岡西2-1-28赤い風船ビル1F, 10:00-24:00, 無し, 045-847-4780,1
イミグランデ上永谷店,神奈川県横浜市港南区丸山台1-11-1上永谷ビル1F･2F, 10:00-24:00, 無し, 045-370-9724,1
ドリームス,神奈川県横浜市緑区鴨居3-1-9スマーイビル1F, 10:00-24:00, 無し, 045-929-2911,1
フリーダム,神奈川県横浜市西区南幸1-5-30, 10:00-24:00, 無休, 045-319-2721,1
ラウンドワン横浜駅西口店,神奈川県横浜市西区南幸2-8-16, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 045-412-0880,1
ネバーランド,神奈川県横浜市都筑区中川中央1-36-16, 10:00-24:00, 無し, 045-912-6111,1
ゲームファンタジア青葉台,神奈川県横浜市青葉区青葉台2-9-141-3F､事4F, 10:00-23:45, 無し, 045-984-5231,1
ゲームコスモ鶴見店,神奈川県横浜市鶴見区豊岡町17-4, 10:00-24:00, 無し, 045-585-0030,1
らんらんらんどパロ横須賀,神奈川県横須賀市本町2-1-12ショッパーズプラザ横須賀店4F, 11:00-23:00, 無し, 046-821-1155,1
ゲームパラダイス ゼロワン,神奈川県横須賀市若松町1-6ヨコビル内アミューズメントパラダイスゼロワン, 10:00-24:00, 無し, 046-827-3318,1
ムトス相模原,神奈川県相模原市中央区中央2-1-5, 10:00-24:00, 無し, 042-776-5001,1
イミグランデ相模原店,神奈川県相模原市中央区東淵野辺4-15-1 相模原A棟002号, 平日10:00-24:00/土日祝9:00-24:00,, 042-753-8881,1
アドアーズ橋本,神奈川県相模原市緑区橋本3-3, 9:00-23:45, 無し, 042-700-2310,1
YAZ橋本台店,神奈川県相模原市緑区橋本台1-34-1, 10:00-24:00, 無休, 0427-70-0801,1
アドアーズ湘南台,神奈川県藤沢市湘南台1-2-1駅前東口ビルB1, 9:00-24:00, 無し, 0466-41-0192,1
アドアーズ藤沢北口,神奈川県藤沢市藤沢460-1 3-4F, 9:00-24:00, 無し, 0466-29-7631,1
ゲームインファンファン藤沢店新館,神奈川県藤沢市鵠沼石上1-3-8, 9:00-24:00, 無し, 0466-25-3255,1
