Name,Address,Time,Close,Tel,PASELI
インターワールド伊勢崎店,群馬県伊勢崎市宮子町3425-4, 10:00-24:00, 無し, 0270-25-4338,1
プレビ劇場ISESAKIアミューズメント,群馬県伊勢崎市西小保方町368スマーク伊勢崎店内3階, 10:00-21:00, 無し, 0270-75-3223,1
群馬レジャーランド伊勢崎店,群馬県伊勢崎市連取町3066-1, 一部24時間営業, 無し, 0270-40-5330,1
ゲームパークM1,群馬県前橋市国領町2-13-6, 10:00-翌4:00, 無し, 027-212-9840,1
ゲームシティボストン,群馬県前橋市大友町3-7-3, 10:00-24:00, 無し, 027-280-5005,1
ラウンドワン前橋店,群馬県前橋市天川大島町1101-1, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 027-287-1501,1
マトリクス前橋店,群馬県前橋市小相木町563-3, 10:00-24:00, 無し, 027-212-3133,1
アピナ太田店,群馬県太田市内ヶ島町907-1, 10:00-24:00, 無し, 0276-48-1489,1
ドライブイン セゾン,群馬県太田市吉沢町3971-2, 一部24時間営業, 無し, 0276-37-7150,1
薮塚バッティングセンター,群馬県太田市大原町2256-6, 12:00-24:00/日・祝11:00-24:00, 火曜日, 0277-78-6150,0
群馬レジャーランド太田店,群馬県太田市西矢島町162-2, 一部24時間営業, 無し, 0276-47-8030,1
ビックチェイス富岡店,群馬県富岡市藤木793-2, 10:00-24:00, 無し, 0274-62-5716,1
なんでもLAND,群馬県渋川市八木原1364, 一部24時間営業, 無し, 0279-25-0718,1
群馬レジャーランド藤岡店,群馬県藤岡市中2002-1, 一部24時間営業,, 0274-40-2371,1
ルパン122,群馬県邑楽郡邑楽町大字中野1593, 11:00-24:00, 無し, 0276-88-7510,1
関東スポーツセンター,群馬県館林市近藤町840, 9:00-24:00, 無し, 0276-73-2902,1
北斗星,群馬県館林市青柳町993-3, 一部24時間, 無し, 0276-75-6233,1
3RDプラネット高崎店,群馬県高崎市下和田町5-3-8メディアメガ高崎内, 9:00-24:00, 無し, 027-310-6611,1
榛名スポーツセンター,群馬県高崎市中里見町根岸173-1, 一部24時間営業, 無し, 027-374-5221,1
ユーズランド高崎店,群馬県高崎市棟高町1400-イオン高崎SC2F, 10:00-23:00,, 027-310-9113,1
群馬レジャーランド高崎駅東口店,群馬県高崎市江木町333-1高崎EXビル2F, 一部24時間営業, 無し, 027-330-3002,1
