Name,Address,Time,Close,Tel,PASELI
アーバンスクエア安佐エース店,栃木県佐野市堀米町614-8,,, 0283-24-6326,1
スカイラブ,栃木県佐野市富岡町1711, 10:00-24:00, 無し, 0283-21-3351,1
フェドラP&D SANO,栃木県佐野市高萩町1340, 10:00-23:00, 無し, 0283-27-1829,1
インターパークプラスワン,栃木県宇都宮市インターパーク6-5-1, 9:00-翌3:00, 無し, 028-657-6789,1
ゲームモアイ宇都宮店,栃木県宇都宮市川田町1001AMモールソーレ21 2F,,, 028-614-3860,1
ラウンドワン宇都宮店,栃木県宇都宮市江曽島町2072-1, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 028-614-8171,1
アミューズメントスペース,栃木県宇都宮市江野町2-10, 店舗までお問合せください, 店舗までお問合せください, 028-614-1093,0
シーサイドリゾート,栃木県宇都宮市睦町7-3, 10:00-24:00, 無し, 028-632-5006,1
遊:ING,栃木県宇都宮市石井町下平出境2707-4, 10:00-翌3:00,, 028-683-3773,1
ハッピープラス ララスクエア店,栃木県宇都宮市駅前通り1-4-6ララスクエア宇都宮B1F, 10:00-24:00, 無し, 028-680-6680,1
タイトーFステーションおやまゆうえん,栃木県小山市喜沢1475ハーヴェストウォーク内,,, 0285-25-8661,1
アピナ小山店,栃木県小山市駅南町4-27-18, 10:00-24:00, 無し, 0285-31-0050,1
ラウンドワン栃木･樋ノ口店,栃木県栃木市樋ノ口町55-1, 店舗に直接お問い合わせください, 無し, 0282-20-2301,1
栃木レジャーランド足利店,栃木県足利市八幡町620-1コンフォモール足利スポーツ棟,,, 0284-64-9666,1
ラウンドワン足利店,栃木県足利市堀込町字宮前196-1, 10:00-24:00, 無し, 0284-70-3001,1
ドラマ足利店,栃木県足利市朝倉町244-1, 10:00-24:00, 無し, 0284-73-9559,1
大田原スポーツランド,栃木県那須塩原市一区町104-60, 10:00-翌2:00, 無し, 0287-36-7137,1
ファンタジーパーク,栃木県那須塩原市二区町352-7, 10:00-翌5:00, 無し, 0287-37-5137,1
