Name,Address,Time,Close,Tel,PASELI
ディノスパーク丸亀VASALA,香川県丸亀市山北町50-1, 10:00-24:00, 無し, 0877-58-0715,1
アミパラ丸亀,香川県丸亀市飯野町西分字川縁甲584-1ハローズ棟, 10:00-24:00, 無し, 0877-24-6666,1
マックスプラザ善通寺,香川県善通寺市中村町1798-2,,, 0877-63-4333,1
チッキッズ イオン坂出店,香川県坂出市京町1-4-18イオン坂出店3F,,, 0877-45-1033,1
アミューズメントスクエアAXEL,香川県綾歌郡宇多津町浜一番丁8-1宇多津ゴールドタワー店, 10:00-24:00, 無し, 0877-49-7070,1
モーリーファンタジーF･綾川,香川県綾歌郡綾川町萱原822-1モーリーファンタジーSC3F,,, 087-876-8256,1
まるゲ,香川県高松市南新町8-12, 10:00-24:00, 無し, 087-861-7008,1
アミューズメントパークMGレインボー店,香川県高松市多肥下町字凹原630マルナカパワシティレインボー店2F, 10:00-22:00, 無し, 087-868-6610,1
MG-BOWL屋島店,香川県高松市屋島西町百石1912-1パワーシティ屋島3F, 10:00-翌1:00, 無し, 0878-43-4203,1
ラウンドワン高松店,香川県高松市松島町2-7-43, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 087-812-6115,1
